Venue,Latitude,Longitude,Category,Id,Rating,Likes,Tips,PostalCode,Price_tier,createdAt,Category_id
золотое руно,47.17649848875992,38.810474544319575,Hotel Pool,55a0e60c498e873de699ccd1,0.0,7.0,0.0,347900.0,0.0,1436608012.0,4bf58dd8d48988d132951735
Пятерочка,47.182352,38.818977000000004,Supermarket,58401718e9233e42ab37615e,5.8,1.0,0.0,347900.0,0.0,1480595224.0,52f2ab2ebcbc57f1066b8b46
Петрушанская Коса,47.174112996717646,38.86520411607576,Beach,51ecf0f2498edbbbb8c6c29d,0.0,0.0,0.0,347900.0,0.0,1374482674.0,4bf58dd8d48988d1e2941735
село Боцманово,47.173903345052224,38.75593034147509,Vineyard,53f917c4498e47b1dc40249e,0.0,1.0,0.0,347900.0,0.0,1408833476.0,4bf58dd8d48988d1de941735
"Остановка ""Новозолотовка""",47.1795768737793,38.795387268066406,Bus Line,516166d9e4b0d19a95e6b214,0.0,0.0,0.0,347900.0,0.0,1365337817.0,4bf58dd8d48988d12b951735
Место Разворота Маршруток,47.202090999999996,38.854572,Bus Line,5183984a498e46c7f9c5af0a,0.0,0.0,1.0,347900.0,0.0,1367578698.0,4bf58dd8d48988d12b951735
Пляж,47.179437,38.805938,Beach,4e33e4e41f6efba2411b99e8,0.0,0.0,0.0,347900.0,0.0,1312023780.0,4bf58dd8d48988d1e2941735
Ресторан Пирамила,47.21756362915039,38.85525512695313,Eastern European Restaurant,52f6564c498e9e09e3e33147,0.0,0.0,0.0,347900.0,2.0,1391875660.0,4bf58dd8d48988d109941735
Сбербанк,47.166087,38.736360999999995,Bank,533dc2e4498e008173c0f1e8,0.0,0.0,0.0,347900.0,0.0,1396556516.0,4bf58dd8d48988d10a951735
Сбербанк,47.183683,38.850119,Bank,533dc2e4498e008173c0f205,0.0,0.0,0.0,347900.0,0.0,1396556516.0,4bf58dd8d48988d10a951735
штрафстоянка,47.22171469200963,38.83110062232487,Parking,54bba83b498efc89a60986e4,0.0,0.0,0.0,347900.0,0.0,1421584443.0,4c38df4de52ce0d596b336e1
ДокАвто,47.22340774536133,38.85890197753906,Gas Station,5275e250498ed7d6b3483e96,0.0,0.0,0.0,347900.0,0.0,1383457360.0,4bf58dd8d48988d113951735
Евролюкс,47.22461022556415,38.84451092530603,General Travel,506bf89fe4b0101523e50d28,0.0,1.0,0.0,347900.0,0.0,1349253279.0,4bf58dd8d48988d1f6931735
Электротехник,47.21762141689679,38.85957217908904,Hardware Store,53ba6d70498ebfb1adf60ba9,0.0,0.0,0.0,347900.0,0.0,1404726640.0,4bf58dd8d48988d112951735
"Магазин ""Крым""",47.220326,38.85318,Miscellaneous Shop,53d2266c498edbadfcf300e7,0.0,0.0,0.0,347900.0,0.0,1406281324.0,4bf58dd8d48988d1ff941735
Авторынок,47.218402191430904,38.82070541381836,Other Great Outdoors,4fc1de61e4b07c20e9f19f0e,0.0,0.0,0.0,347900.0,0.0,1338105441.0,4bf58dd8d48988d162941735
Гипермаркет Магнит,47.220912281609785,38.859761995461334,Grocery Store,4efda97b7ee5f14f38ab17d1,6.5,45.0,11.0,347939.0,0.0,1325246843.0,4bf58dd8d48988d118951735
Дарьевские пруды,47.233604431152344,38.797889709472656,Lake,53a6c4ef498ed965e2a43ffb,0.0,0.0,0.0,347900.0,0.0,1403438319.0,4bf58dd8d48988d161941735
